Register, 1st Pronouns, 2nd Pronouns, 3rd Pronouns,,Average,1st,2nd,3rd
HI,16382.35294,27794.11765,6595.588235,,,,,
HI,2141.074856,3648.752399,862.7639155,,,,,
HI,1403.225806,2387.717122,565.7568238,,,,,
HI,3611.111111,6142.857143,1473.015873,,,,,
HI,10618.60465,18060.46512,4320.930233,,,,,
HI,16955.55556,28770.37037,6888.888889,,,,,
HI,304.1676533,492.3040493,114.7288657,,,,,
HI,7623.145401,12353.11573,2875.37092,,,,,
HI,2819.078947,4650.219298,1065.789474,,,,,
HI,15587.87879,25715.15152,5903.030303,,,,,
HI,26020.20202,42868.68687,9838.383838,,,,,
HI,10345.38153,17100.40161,3911.646586,,,,,
HI,1602.237415,2700.435053,608.4524549,,,,,
HI,2077.901431,3531.796502,782.1939587,,,,,
HI,16459.1195,27974.84277,6188.679245,,,,,
HI,4250.803859,7163.987138,1583.601286,,,,,
HI,6894.056848,11532.29974,2550.387597,,,,,
HI,4895.412844,8236.697248,1811.009174,,,,,
HI,3488.888889,5943.79085,1290.196078,,,,,
HI,6772.727273,11570.70707,2494.949495,,,,,
HI,780.9905525,1326.36702,287.4320069,,,,,
HI,1576.280944,2723.661485,580.8865861,,,,,
HI,3447.236181,5983.668342,1277.638191,,,,,
HI,6140.939597,10682.32662,2275.167785,,,,,
HI,3373.626374,5876.678877,1245.421245,,,,,
HI,2364.795918,4119.047619,872.4489796,,,,,
HI,900.4438808,1551.997464,331.6423589,,,,,
HI,2389.588581,4149.45424,885.8102435,,,,,
HI,5694,9932,2114,,,,,
HI,12012.65823,21000,4459.915612,,,,,
HI,13820.38835,24160.19417,5131.067961,,,,,
HI,12653.33333,22186.66667,4697.777778,,,,,
HI,2742.774566,4859.344894,1021.194605,,,,,
HI,4545.454545,8084.529506,1693.779904,,,,,
HI,7916.666667,14086.11111,2950,,,,,
HI,5503.861004,9816.602317,2052.123552,,,,,
HI,3760.416667,6630.208333,1388.020833,,,,,
HI,3492.140266,6194.679565,1293.833132,,,,,
HI,3845.539281,6889.480692,1428.761651,,,,,
HI,10980.98859,19726.23574,4083.65019,,,,,
HI,3024.896266,5414.937759,1115.145228,,,,,
HI,5503.773585,9888.679245,2035.849057,,,,,
HI,2307.99373,4125.39185,847.1786834,,,,,
HI,3476.580796,6177.985948,1269.320843,,,,,
HI,3397.025172,6089.244851,1258.581236,,,,,
HI,39065.78947,70065.78947,14473.68421,,,,,
HI,2575.389948,4686.308492,956.6724437,,,,,
HI,22014.81481,40081.48148,8185.185185,,,,,
HI,10546.09929,19241.13475,3921.985816,,,,,
HI,4851.549755,8911.908646,1835.236542,,,,,
HI,3928.665786,7298.546896,1486.129458,,,,,
HI,3757.575758,7021.464646,1424.242424,,,,,
HI,12565.40084,23493.67089,4763.71308,,,,,
HI,1455.769231,2705.288462,543.75,,,,,
HI,3403.351955,6299.441341,1289.385475,,,,,
HI,13908.6758,25767.12329,5269.406393,,,,,
HI,1891.975309,3490.123457,741.9753086,,,,,
HI,24325.39683,44968.25397,9539.68254,,,,,
HI,5397.887324,10012.32394,2126.760563,,,,,
HI,4211.538462,7875,1660.714286,,,,,
HI,1038.253216,1975.287745,416.0460393,,,,,
HI,4201.369863,8078.082192,1686.30137,,,,,
HI,1955.442393,3781.667728,783.5773393,,,,,
HI,10108.55263,19592.10526,4049.342105,,,,,
HI,23135.33835,44819.54887,9255.639098,,,,,
HI,1225.959636,2370.399683,494.6576969,,,,,
HI,9591.331269,18582.04334,3869.96904,,,,,
HI,698.6531987,1279.250842,274.2003367,,,,,
HI,3724.637681,6782.608696,1455.964326,,,,,
HI,11889.67972,21676.15658,4647.686833,,,,,
HI,4081.607795,7461.632156,1599.269184,,,,,
HI,6125.68306,11169.39891,2409.836066,,,,,
HI,20381.81818,37254.54545,8018.181818,,,,,
HI,994.1297329,1814.49956,420.3111242,,,,,
HI,6150.635209,11277.67695,2602.540835,,,,,
HI,6768.463074,12463.07385,2876.247505,,,,,
HI,3995.288575,7394.581861,1699.646643,,,,,
HI,25125.92593,46518.51852,10688.88889,,,,,
HI,1749.359303,3294.720656,744.746284,,,,,
HI,4225.247525,7988.861386,1798.267327,,,,,
HI,11868.05556,22451.38889,5045.138889,,,,,
HI,8809.278351,16716.49485,3750,,,,,
HI,1512.809379,2856.708641,644.3768997,,,,,
HI,5103.953148,9667.642753,2188.872621,,,,,
HI,7314.465409,13876.31027,3157.232704,,,,,
HI,6006.884682,11432.01377,2593.803787,,,,,
HI,1870.813397,3554.492291,807.0175439,,,,,
HI,29830.50847,56745.76271,12864.40678,,,,,
HI,10244.18605,19520.34884,4415.697674,,,,,
HI,3533.26713,6697.120159,1509.433962,,,,,
HI,9133.333333,17325.64103,3897.435897,,,,,
HI,16122.17195,30592.76018,6877.828054,,,,,
HI,3285.188592,6246.550138,1407.543698,,,,,
HI,6509.090909,12407.27273,2790.909091,,,,,
HI,1864.203954,3557.752341,805.9313215,,,,,
HI,6934.362934,13216.21622,2996.138996,,,,,
HI,2365.821962,4456.140351,1011.046134,,,,,
HI,5962.356792,11292.96236,2549.918167,,,,,
HI,4507.99508,8505.535055,1916.359164,,,,,
ID,2041.231446,3821.880154,861.4623419,,,,,
ID,3662.414132,6833.169774,1565.260059,,,,,
ID,17063.92694,31799.08676,7305.936073,,,,,
ID,3720.472441,6857.283465,1613.188976,,,,,
ID,15079.68127,27816.73307,6529.880478,,,,,
ID,6693.661972,12320.42254,2896.126761,,,,,
ID,5294.198895,9674.033149,2272.099448,,,,,
ID,5190.860215,9420.698925,2211.021505,,,,,
ID,12509.67742,22622.58065,5322.580645,,,,,
ID,8360.515021,15051.50215,3560.085837,,,,,
ID,38594.05941,69445.54455,16435.64356,,,,,
ID,1776.42825,3162.393162,792.1727395,,,,,
ID,8521.551724,15150.86207,3827.586207,,,,,
ID,2187.398153,3847.908745,977.1863118,,,,,
ID,41515.46392,73030.92784,18567.01031,,,,,
ID,5307.591623,9290.575916,2373.036649,,,,,
ID,4218.65285,7379.274611,1883.937824,,,,,
ID,15148.69888,26494.42379,6758.364312,,,,,
ID,2586.07831,4438.160348,1136.109385,,,,,
ID,57068.49315,97863.0137,25041.09589,,,,,
ID,9084.598698,15501.0846,3993.492408,,,,,
ID,16271.31783,27697.67442,7139.534884,,,,,
ID,9073.275862,15413.7931,3980.603448,,,,,
ID,2741.4791,4611.575563,1190.353698,,,,,
ID,875.2945797,1427.926159,396.8970935,,,,,
ID,9271.784232,15130.70539,4201.244813,,,,,
ID,1267.93075,2015.114042,566.9139874,,,,,
ID,4477.011494,7066.091954,2040.229885,,,,,
ID,3601.361573,5591.527988,1627.836611,,,,,
ID,2142.984808,3326.184093,967.3815907,,,,,
ID,9018.726592,13943.82022,4058.052434,,,,,
ID,21431.11111,33093.33333,9653.333333,,,,,
ID,44247.70642,68339.44954,19935.77982,,,,,
ID,8158.249158,12560.60606,3693.602694,,,,,
ID,15680.64516,24093.54839,7077.419355,,,,,
ID,3566.423358,5473.722628,1609.489051,,,,,
ID,7548.387097,11522.27343,3400.921659,,,,,
ID,2920.560748,4405.373832,1342.873832,,,,,
ID,13015.58442,19612.98701,5976.623377,,,,,
ID,35288.73239,53176.05634,16246.47887,,,,,
ID,5107.178969,7655.20728,2345.803842,,,,,
ID,18307.97101,27467.3913,8405.797101,,,,,
ID,27345.94595,40989.18919,12583.78378,,,,,
ID,2007.754944,2963.164017,909.654905,,,,,
ID,10619.6319,15640.0818,4807.770961,,,,,
ID,13264.63104,19473.28244,5982.188295,,,,,
ID,11100,16285.10638,5044.680851,,,,,
ID,3312.617702,4809.165097,1536.723164,,,,,
ID,4035.714286,5822.18845,1872.340426,,,,,
ID,2655.13834,3807.312253,1242.588933,,,,,
ID,13953.36788,19994.81865,6515.544041,,,,,
ID,15541.78674,22262.24784,7256.48415,,,,,
ID,29183.78378,41794.59459,13616.21622,,,,,
ID,4652.39726,6648.972603,2193.493151,,,,,
ID,9009.884679,12813.83855,4228.995058,,,,,
ID,1625.990026,2286.007627,770.313875,,,,,
ID,4687.866109,6537.238494,2204.1841,,,,,
ID,4978.817299,6929.390997,2338.923213,,,,,
ID,32813.95349,45651.16279,15412.7907,,,,,
ID,8366.863905,11642.01183,3928.994083,,,,,
ID,9106.109325,12672.02572,4286.173633,,,,,
ID,33732.14286,46964.28571,15875,,,,,
ID,25235.55556,35106.66667,11857.77778,,,,,
ID,7029.593095,9759.556104,3289.765721,,,,,
ID,9209.677419,12774.19355,4330.645161,,,,,
ID,34427.71084,47716.86747,16180.72289,,,,,
ID,7647.058824,10593.58289,3592.245989,,,,,
ID,4863.175676,6712.837838,2299.831081,,,,,
ID,4210.297317,5792.603336,1981.145758,,,,,
ID,6637.400228,9110.604333,3131.128848,,,,,
ID,17495.4955,23996.997,8246.246246,,,,,
ID,14987.14653,20547.55784,7066.838046,,,,,
ID,38642.38411,52953.64238,18264.90066,,,,,
ID,21594.09594,29531.36531,10191.88192,,,,,
ID,54719.62617,74794.39252,25813.08411,,,,,
ID,7811.170213,10647.60638,3712.765957,,,,,
ID,4659.323367,6311.565696,2232.88749,,,,,
ID,805.5481104,1079.201287,426.0251943,,,,,
ID,8121.45749,10887.9892,4311.740891,,,,,
